ORDERKEY,CUSTKEY,PARTKEY,SUPPKEY,ORDERDATE,REVENUE
1,257368,465569,8273,19950218,675
1,257368,201928,1630,19950218,766
1,257368,191100,709,19950218,744
2,182365,318510,10657,19960130,645
2,182365,583525,6015,19960130,673
2,182365,300491,1372,19960130,952
2,182365,137408,13818,19960130,188
3,206119,12891,19585,19960817,247
3,206119,57107,16666,19960817,724
3,206119,385345,14090,19960817,604
3,206119,88139,7417,19960817,57
3,206119,549283,16067,19960817,733
4,138125,264105,18120,19940516,239
5,53926,325708,417,19970930,689
5,53926,371781,2590,19970930,527
6,20194,418907,5751,19931213,1
6,20194,159231,1252,19931213,770
6,20194,190024,11978,19931213,104
6,20194,518273,19263,19931213,234
6,20194,414108,17670,19931213,303
6,20194,507411,14935,19931213,1013
6,20194,252071,9774,19931213,424
7,76918,546156,17347,19951225,111
32,59536,248111,14993,19960404,1007
32,59536,593761,5653,19960404,596
32,59536,132482,7258,19960404,729
32,59536,8227,13646,19960404,369
33,117271,184006,19477,19950214,40
33,117271,181557,14147,19950214,134
33,117271,412406,6165,19950214,385
33,117271,101753,1867,19950214,252
33,117271,153662,16843,19950214,95
33,117271,193984,5156,19950214,266
33,117271,475604,6135,19950214,149
34,245962,265085,7268,19970619,592
34,245962,268240,9014,19970619,691
34,245962,508630,13412,19970619,446
34,245962,330013,3073,19970619,476
35,173009,1350,8994,19930111,954
35,173009,485820,7238,19930111,622
35,173009,362686,15197,19930111,284
35,173009,255523,9283,19930111,36
35,173009,359749,12236,19930111,369
35,173009,92286,5742,19930111,66
36,145763,359300,1064,19940118,40
36,145763,344039,13968,19940118,275
36,145763,54518,13691,19940118,725
36,145763,81198,389,19940118,958
36,145763,278394,13891,19940118,259
36,145763,153315,18505,19940118,819
36,145763,359890,1306,19940118,634
37,22097,67888,8673,19980424,223
37,22097,380344,11481,19980424,726
37,22097,38709,8566,19980424,533
37,22097,179513,15410,19980424,565
37,22097,262781,14180,19980424,408
37,22097,558489,12262,19980424,650
38,273620,527517,12055,19931210,415
38,273620,368184,2778,19931210,244
39,16405,6959,16178,19970516,459
39,16405,559744,18186,19970516,461
64,292546,257853,926,19960224,747
64,292546,528996,18848,19960224,622
64,292546,25783,11642,19960224,402
64,292546,134588,3798,19960224,415
64,292546,16168,17464,19960224,124
65,107443,179082,10400,19940408,510
65,107443,221444,10234,19940408,567
65,107443,4162,9310,19940408,778
65,107443,350006,4230,19940408,653
65,107443,135065,267,19940408,971
66,71789,345352,8434,19950913,213
66,71789,520466,4754,19950913,696
66,71789,56449,11173,19950913,592
66,71789,125582,3493,19950913,96
67,244516,64906,18227,19960922,113
67,244516,60578,11052,19960922,892
67,244516,520799,6064,19960922,685
67,244516,262541,4742,19960922,917
67,244516,121839,16836,19960922,279
68,162754,21202,8826,19951111,860
68,162754,525538,17578,19951111,764
68,162754,104938,7638,19951111,232
68,162754,284183,18660,19951111,549
68,162754,248273,7661,19951111,320
68,162754,307683,7002,19951111,924
68,162754,417740,7986,19951111,214
69,5000,345625,6183,19940708,906
69,5000,312538,11591,19940708,808
69,5000,411800,15363,19940708,662
69,5000,112506,11970,19940708,644
69,5000,276210,13224,19940708,150
70,30385,192384,12108,19930722,537
70,30385,588466,12615,19930722,296
70,30385,539427,15889,19930722,823
71,59410,185792,2962,19980128,194
71,59410,197746,17136,19980128,859
71,59410,103296,17191,19980128,666
71,59410,289934,6235,19980128,28
71,59410,309764,9299,19980128,990
96,82535,369228,17240,19950421,879
96,82535,406170,3475,19950421,727
96,82535,287546,4028,19950421,86
96,82535,370994,10087,19950421,690
96,82535,83748,605,19950421,107
96,82535,543416,16734,19950421,612
97,262100,358431,6834,19941122,43
97,262100,148702,7078,19941122,468
97,262100,233097,15145,19941122,594
97,262100,258436,110,19941122,988
97,262100,133111,7991,19941122,939
97,262100,381296,10811,19941122,771
98,205237,120648,1945,19940206,890
98,205237,329228,16750,19940206,872
98,205237,134117,2571,19940206,468
