SUPPKEY,NAME,ADDRESS,CITY,NATION,REGION,PHONE
1,248,734,965,307,39,439
2,40,919,772,628,572,1017
3,628,737,407,519,159,762
4,538,561,675,599,787,867
5,322,347,254,131,467,965
6,419,281,596,851,700,261
7,13,518,842,741,286,196
8,411,26,593,678,699,257
9,77,953,1013,765,22,262
10,262,143,879,527,99,838
11,454,885,190,417,122,145
12,6,25,837,154,778,535
13,824,10,463,68,707,976
14,767,250,56,229,762,335
15,937,929,811,380,75,569
16,338,744,248,767,373,345
17,964,697,512,373,159,633
18,1017,369,27,972,546,21
19,642,1020,405,669,790,16
20,389,532,337,888,709,938
21,824,980,256,100,347,177
22,466,919,708,296,206,496
23,313,258,751,610,356,939
24,272,415,962,273,983,854
25,444,403,892,77,665,705
26,379,219,133,1019,484,831
27,41,550,312,167,896,637
28,319,626,56,125,753,800
29,177,976,252,1021,269,800
30,266,345,771,134,122,761
31,556,132,276,983,560,302
32,474,176,411,763,324,653
33,54,93,32,496,908,617
34,702,208,945,360,81,371
35,316,7,27,753,505,449
36,496,82,973,929,237,817
37,924,539,461,244,800,341
38,724,59,180,673,883,741
39,835,887,822,1018,761,471
40,583,635,768,662,540,210
41,158,548,132,568,175,239
42,70,776,964,167,748,514
43,157,954,465,122,534,310
44,60,356,245,268,692,220
45,445,238,325,832,54,601
46,549,154,127,593,417,193
47,633,917,776,274,275,885
48,493,780,869,923,927,344
49,751,763,946,463,330,689
50,125,990,10,226,259,758
51,92,822,338,139,982,542
52,363,57,785,625,526,204
53,245,156,376,598,169,114
54,508,942,837,322,56,488
55,787,286,480,423,542,444
56,73,230,665,156,381,329
57,506,789,585,113,663,750
58,777,467,798,554,180,293
59,147,631,318,116,845,967
60,532,858,800,642,428,986
61,864,142,176,824,35,188
62,806,842,893,257,458,181
63,632,570,970,462,10,909
64,125,83,376,1001,406,29
65,161,805,145,173,463,266
66,233,262,487,547,295,593
67,133,888,55,426,74,991
68,8,210,301,427,192,9
69,181,305,1003,615,120,956
70,907,614,109,201,141,299
71,668,36,235,776,75,93
72,322,417,120,887,940,614
73,985,786,494,363,301,225
74,806,778,361,648,420,122
75,693,580,13,985,342,649
76,876,363,325,326,1015,64
77,83,649,1014,501,161,811
78,73,668,400,530,24,1003
79,235,899,122,420,910,790
80,111,257,473,591,144,612
81,114,353,148,880,688,712
82,604,734,179,443,753,55
83,951,463,899,894,933,397
84,738,158,27,110,729,1019
85,589,478,465,673,973,526
86,261,1021,407,432,460,361
87,784,514,254,1021,395,320
88,589,770,315,69,194,829
89,148,924,460,792,448,918
90,62,504,728,751,140,460
91,629,755,149,728,727,354
92,520,91,720,864,129,535
93,209,627,193,276,656,991
94,273,892,307,917,189,82
95,148,288,641,155,263,708
96,881,633,294,137,638,219
97,808,68,300,16,530,481
98,928,40,383,357,125,25
99,546,642,292,948,292,750
100,156,988,620,592,710,412
101,211,611,537,828,737,694
102,478,201,995,755,257,8
103,291,318,796,772,128,517
104,254,610,129,666,958,492
105,867,629,291,995,735,289
106,599,54,761,268,795,233
107,156,67,274,613,338,492
108,182,945,713,147,920,20
109,191,715,570,452,8,195
110,966,98,743,605,694,401
111,919,366,211,323,650,97
