date,htype,locale,locale_name,transferred,f2
1040,4,2,15,1,612
1108,4,2,15,1,450
1546,4,2,15,1,256
1270,4,2,15,1,57
643,3,0,17,0,950
744,4,2,15,1,749
1363,3,0,9,0,915
1137,4,2,15,1,308
1517,3,0,14,0,799
1665,4,2,15,1,957
1573,4,2,15,1,662
1494,4,2,15,1,858
469,4,2,15,1,864
1294,4,2,15,1,587
1498,4,2,15,1,543
1390,4,2,15,1,310
1582,4,2,15,1,843
520,4,2,15,1,766
1515,3,1,4,0,435
690,4,2,15,1,432
933,3,0,8,0,488
1460,4,2,15,1,810
1333,4,2,15,1,874
1257,4,2,15,1,317
637,4,2,15,1,524
1638,4,2,15,1,747
654,4,2,15,1,519
603,4,2,15,1,959
1529,4,2,15,1,796
555,4,2,15,1,568
1144,4,2,15,1,393
1233,4,2,15,1,369
1675,4,2,15,1,809
525,4,2,15,1,626
1466,4,2,15,1,851
1179,4,2,15,1,357
1559,5,0,3,0,988
533,4,2,15,1,877
1173,4,2,15,1,220
1330,4,2,15,1,808
1578,4,2,15,1,961
485,4,2,15,1,424
894,4,2,15,1,330
1402,3,3,22,0,316
970,4,2,15,1,32
1344,4,2,15,1,434
1259,4,2,15,1,500
1013,4,2,15,1,240
1443,4,2,15,1,413
1628,4,2,15,1,542
925,4,2,15,1,557
1618,4,2,15,1,891
1507,4,2,15,1,489
1285,4,2,15,1,697
1145,4,2,15,1,888
947,4,2,15,1,728
1563,4,2,15,1,115
1347,4,2,15,1,423
1444,4,2,15,1,520
1293,4,2,15,1,409
898,4,2,15,1,342
823,4,2,15,1,640
696,4,2,15,1,438
531,4,2,15,1,675
776,4,2,15,1,691
518,4,2,15,1,863
599,3,0,0,0,708
650,4,2,15,1,420
1185,4,2,15,1,807
578,4,2,15,1,759
1636,4,2,15,1,35
1221,2,1,4,0,764
968,4,2,15,1,210
794,4,2,15,1,554
1009,3,1,4,0,875
605,4,2,15,1,478
293,4,2,15,1,378
392,4,2,15,1,109
258,4,2,15,1,422
542,2,1,4,0,843
54,4,2,15,1,399
45,4,2,15,1,899
92,4,2,15,1,524
197,4,2,15,1,245
357,0,1,4,0,951
448,4,2,15,1,151
236,4,2,15,1,180
86,4,2,15,1,451
198,4,2,15,1,610
353,4,2,15,1,933
67,4,2,15,1,335
24,4,2,15,1,820
70,4,2,15,1,391
60,3,0,14,0,194
272,4,2,15,1,668
348,4,2,15,1,583
404,4,2,15,1,777
95,4,2,15,1,950
313,3,0,7,0,249
364,3,1,4,0,480
1478,4,2,15,1,910
889,4,2,15,1,703
1381,4,2,15,1,23
1413,4,2,15,1,724
569,3,0,8,0,423
595,4,2,15,1,227
1537,4,2,15,1,607
1254,4,2,15,1,924
1572,4,2,15,1,274
965,4,2,15,1,56
1256,4,2,15,1,847
1208,2,1,4,0,696
940,4,2,15,1,979
1579,4,2,15,1,948
1034,3,1,4,0,793
1224,2,1,4,0,217
480,4,2,15,1,661
1281,4,2,15,1,467
1334,4,2,15,1,319
1133,4,2,15,1,583
1670,4,2,15,1,104
642,4,2,15,1,834
1640,3,0,21,0,957
1614,4,2,15,1,951
1349,4,2,15,1,962
798,4,2,15,1,299
1651,4,2,15,1,900
1462,4,2,15,1,584
1039,4,2,15,1,45
1019,4,2,15,1,482
1190,4,2,15,1,992
733,4,2,15,1,575
540,4,2,15,1,877
553,2,1,4,0,902
961,4,2,15,1,677
583,4,2,15,1,894
711,4,2,15,1,740
1366,4,2,15,1,33
1006,4,2,15,1,539
1620,4,2,15,1,64
1445,4,2,15,1,426
1223,2,1,4,0,135
1353,4,2,15,1,292
976,4,2,15,1,298
682,4,2,15,1,783
1487,4,2,15,1,179
1612,4,2,15,1,921
1181,4,2,15,1,936
1032,4,2,15,1,221
1035,4,2,15,1,686
992,4,2,15,1,790
1176,3,1,4,0,916
1588,3,0,16,0,506
901,3,0,7,0,890
863,4,2,15,1,439
1012,4,2,15,1,100
1066,0,0,18,0,45
1422,4,2,15,1,808
1592,4,2,15,1,856
971,4,2,15,1,162
582,4,2,15,1,527
1054,4,2,15,1,74
1038,3,3,20,0,7
535,4,2,15,1,605
551,4,2,15,1,90
1061,2,1,4,0,300
490,4,2,15,1,137
489,4,2,15,1,1
1336,4,2,15,1,890
465,3,0,3,0,729
1619,4,2,15,1,138
656,4,2,15,1,179
510,4,2,15,1,152
