item_nbr,family,class,perishable,f1
1192,12,28,0,958
2693,12,32,0,888
1083,7,222,0,584
688,7,219,0,597
60,12,46,0,255
1464,3,70,0,680
3681,7,231,0,785
527,12,32,0,911
386,12,29,0,420
1775,13,86,0,397
1285,8,125,1,20
2027,12,56,0,521
2707,26,314,0,291
72,12,64,0,575
1176,12,26,0,651
1105,12,3,0,691
3316,27,273,0,543
2059,7,210,0,298
1350,7,224,0,319
1882,12,21,0,826
498,12,19,0,764
1024,14,316,0,618
693,10,164,1,720
1540,12,26,0,401
486,12,16,0,564
1552,12,47,0,821
2897,30,117,1,761
303,7,227,0,214
1745,12,46,0,999
3220,3,65,0,910
910,12,16,0,569
1055,25,246,0,630
3104,7,227,0,33
284,12,61,0,278
1732,12,26,0,897
606,21,331,0,941
0,12,62,0,330
539,12,26,0,745
1776,12,13,0,736
323,12,46,0,480
297,5,187,1,847
2135,7,227,0,885
3315,27,273,0,838
2122,12,8,0,942
1521,7,219,0,374
479,12,9,0,630
1840,25,244,0,247
1287,8,125,1,836
741,25,245,0,570
491,3,70,0,470
427,12,9,0,285
1389,21,329,0,343
1317,8,127,1,983
3677,3,73,0,271
2096,7,218,0,337
3344,7,219,0,826
1565,3,72,0,977
1723,12,16,0,728
1664,11,146,0,600
2884,19,332,0,469
1331,2,261,0,181
629,10,164,1,106
3264,3,76,0,958
978,7,220,0,686
62,12,9,0,69
402,12,46,0,392
232,3,71,0,98
3725,25,248,0,209
1468,3,70,0,791
1757,10,164,1,162
1751,3,73,0,406
3280,3,76,0,908
2447,18,239,0,976
676,12,36,0,258
1678,11,155,0,998
390,12,37,0,513
3375,25,246,0,64
1986,3,69,0,981
3470,7,216,0,554
1641,7,228,0,925
1783,12,14,0,976
1887,12,21,0,247
2831,27,273,0,682
1663,12,14,0,792
2191,8,129,1,688
2057,7,220,0,181
2699,18,238,0,526
3396,15,285,0,915
1133,7,216,0,803
899,9,171,1,929
44,7,235,0,147
2064,12,25,0,159
2293,7,218,0,512
1697,12,0,0,569
2435,18,238,0,801
3781,3,72,0,784
1809,5,184,1,252
49,7,232,0,155
1413,7,228,0,697
2136,12,51,0,351
1748,12,53,0,709
1040,3,71,0,937
1403,8,126,1,601
2548,3,65,0,602
2761,30,106,1,872
3737,12,16,0,842
2167,12,59,0,422
71,5,183,1,831
2453,18,240,0,33
3883,12,9,0,973
3612,12,54,0,31
1471,3,71,0,470
653,5,185,1,558
421,8,128,1,340
99,3,71,0,158
151,12,46,0,863
1996,12,47,0,130
896,3,70,0,653
3134,25,248,0,884
2331,7,228,0,294
656,12,21,0,975
2836,6,271,0,229
3405,3,71,0,450
1898,8,143,1,840
3722,7,227,0,632
1883,12,16,0,879
100,3,71,0,834
292,5,182,1,85
215,5,182,1,527
3314,27,273,0,303
1519,3,69,0,169
2172,12,28,0,949
1813,12,28,0,197
416,7,233,0,921
3651,12,19,0,997
2584,3,79,0,59
3581,8,134,1,5
2376,12,4,0,637
928,7,227,0,898
1629,7,226,0,918
626,12,0,0,292
608,21,331,0,154
1223,10,164,1,288
1459,3,70,0,814
632,7,213,0,628
1564,5,182,1,703
551,12,49,0,101
3348,12,9,0,598
1221,10,164,1,842
1977,8,143,1,489
2119,11,148,0,374
364,10,164,1,328
3551,3,71,0,621
2396,5,186,1,563
3057,3,72,0,261
927,7,227,0,377
3585,12,34,0,97
3061,12,14,0,84
2865,31,312,0,531
2513,12,16,0,943
3248,3,71,0,348
3566,3,69,0,594
697,12,19,0,866
3475,12,0,0,36
2258,15,295,0,653
3763,3,68,0,659
1069,12,9,0,238
3528,25,246,0,43
22,12,39,0,367
3768,8,139,1,654
3589,12,33,0,295
1184,12,8,0,52
1522,12,1,0,913
2421,18,238,0,966
3992,12,47,0,938
2343,15,293,0,389
1156,9,168,1,228
1026,12,0,0,636
3558,12,49,0,899
895,12,15,0,670
3851,7,233,0,678
2266,12,49,0,960
2540,3,79,0,575
2919,30,112,1,432
2314,8,135,1,322
3036,30,112,1,895
3769,3,79,0,845
1078,8,134,1,277
2769,30,111,1,302
768,12,20,0,942
3513,3,79,0,896
3559,16,305,0,623
2154,12,21,0,835
2466,18,238,0,456
3254,13,86,0,396
2621,3,77,0,387
1182,12,5,0,462
2690,29,206,1,489
3126,30,115,1,298
2800,30,109,1,962
3164,25,246,0,936
1,12,43,0,275
3360,8,144,1,401
3971,8,137,1,530
1315,12,16,0,346
3914,3,72,0,317
3325,5,186,1,438
3343,12,47,0,693
1755,12,11,0,291
3025,30,118,1,829
3362,8,144,1,165
3683,8,133,1,646
3210,3,77,0,614
20,28,162,1,747
1420,24,156,1,724
2732,30,119,1,697
1589,24,158,1,551
2757,30,111,1,158
1880,25,251,0,948
3412,12,21,0,20
2034,5,191,1,945
3960,29,206,1,862
3327,12,26,0,178
3916,29,201,1,742
2903,30,117,1,938
2958,30,105,1,615
3812,25,254,0,151
2755,30,106,1,227
3251,30,107,1,495
2986,30,107,1,398
730,24,156,1,371
4003,12,44,0,525
384,12,46,0,79
2055,5,185,1,565
1101,7,228,0,825
31,7,228,0,850
2604,3,79,0,421
3155,12,9,0,666
194,8,125,1,183
3631,12,46,0,361
3625,12,19,0,644
1531,7,226,0,198
1443,8,136,1,450
1987,3,70,0,384
3657,12,19,0,620
694,12,19,0,104
2792,30,104,1,205
1185,12,8,0,698
3184,25,247,0,292
1496,12,0,0,591
122,8,128,1,889
981,12,5,0,656
2231,15,291,0,598
2129,12,18,0,103
2296,16,304,0,914
499,7,226,0,104
1801,7,220,0,216
1569,12,21,0,416
2574,3,68,0,241
1515,25,243,0,603
857,3,70,0,315
834,9,172,1,186
105,5,186,1,512
678,9,168,1,977
1999,32,199,1,757
3113,12,12,0,683
1646,3,73,0,376
410,9,172,1,924
3454,25,252,0,844
3284,3,76,0,748
2446,18,239,0,540
2501,22,90,0,627
2198,15,277,0,592
2040,7,222,0,135
1276,7,228,0,986
1504,7,210,0,521
1045,9,172,1,620
2854,6,271,0,657
833,9,172,1,625
2625,3,85,0,246
1853,25,244,0,661
3587,12,54,0,165
2833,27,273,0,810
3598,12,19,0,888
3082,16,306,0,928
1518,5,182,1,664
945,12,56,0,947
3436,8,141,1,277
1266,12,63,0,869
1271,12,2,0,298
1551,3,74,0,584
1859,25,248,0,60
3507,12,28,0,20
2869,19,332,0,680
2290,7,218,0,322
2261,12,26,0,120
1650,25,246,0,871
3256,12,49,0,737
282,12,61,0,187
252,3,70,0,762
3626,12,33,0,345
751,5,186,1,62
3117,3,74,0,647
158,12,32,0,140
2712,12,47,0,79
1003,12,16,0,268
2016,12,37,0,722
2529,3,85,0,836
3544,22,89,0,174
1120,12,56,0,64
1484,3,72,0,989
2400,7,231,0,68
3524,8,139,1,557
687,12,9,0,290
1972,8,142,1,856
698,8,123,1,993
1911,8,137,1,511
1199,3,69,0,871
1591,12,62,0,599
1096,12,28,0,954
3533,12,23,0,385
1639,7,226,0,225
2511,12,46,0,901
2516,3,68,0,236
3608,12,34,0,637
2619,3,77,0,944
476,5,186,1,873
2170,12,28,0,880
2204,15,283,0,21
823,7,218,0,742
1890,8,135,1,102
