date,dcoilwtico,f3
1506,5,450
680,5,90
457,8,900
1210,2,759
1605,3,768
1187,0,595
689,5,510
797,3,653
1422,2,957
1027,1,82
1481,4,980
707,5,111
671,5,298
1271,3,219
815,3,388
1499,4,104
541,9,611
1016,2,169
777,4,483
917,4,604
130,7,68
403,8,449
308,6,6
157,7,552
17,7,38
1436,4,409
1406,1,194
1395,2,966
579,8,759
926,4,626
745,2,688
698,5,733
1413,2,382
1228,2,788
1427,4,703
1463,4,377
716,5,367
439,8,7
901,5,662
660,6,50
1497,5,250
1253,3,223
788,3,524
1045,1,788
1074,0,377
1515,5,448
651,6,785
928,3,991
892,5,743
937,3,791
1580,2,968
1587,3,227
1065,0,84
1101,0,103
1262,3,233
1352,1,764
1677,3,2
1251,4,249
532,9,849
1445,4,900
1194,1,675
1110,0,502
756,1,919
779,3,887
550,9,55
865,5,396
743,3,919
822,4,271
642,6,62
1472,4,919
874,5,341
139,7,901
26,7,646
198,9,921
448,8,534
1083,0,107
1203,1,353
838,5,652
856,5,575
252,9,134
306,7,832
150,6,833
430,8,681
225,9,389
290,8,159
281,8,145
342,7,723
10,6,873
243,9,4
371,6,165
317,6,868
261,9,281
175,7,857
234,9,224
324,7,199
216,9,98
421,8,923
380,6,903
35,7,855
335,6,782
297,7,439
207,9,568
351,7,484
272,8,812
1,6,49
1092,0,261
1221,1,798
883,5,568
412,8,588
847,5,85
1266,3,506
473,9,522
1486,4,891
1327,2,794
1248,3,687
1488,5,444
1239,3,789
1643,2,601
961,0,483
1128,0,901
1257,3,587
1461,5,714
982,1,87
946,1,395
1616,2,794
1318,2,818
1119,0,421
1191,0,514
1522,4,717
1623,1,600
1304,0,211
1504,4,295
1632,1,939
1661,2,497
193,9,408
365,7,564
73,6,484
1345,2,292
1146,0,285
721,5,62
527,9,965
1558,4,699
897,5,990
754,2,581
975,2,742
1370,3,124
1200,0,388
1280,1,149
1495,4,195
1573,3,22
955,1,572
1009,3,596
1528,3,355
808,2,131
1164,0,597
516,8,692
509,9,104
752,1,278
1652,2,399
595,7,784
827,4,27
1000,1,768
1182,0,822
545,9,290
518,9,225
939,2,611
1155,0,926
1307,1,90
1433,3,847
536,9,140
622,7,370
1591,3,604
1549,4,767
628,6,317
817,2,834
1316,1,237
1137,0,462
1230,3,168
498,8,88
55,6,579
489,8,601
1298,1,185
906,5,437
637,6,319
480,8,568
464,9,628
646,6,473
453,8,774
85,7,513
202,9,545
164,8,962
383,7,178
49,7,58
109,6,420
286,8,639
22,7,302
182,8,799
100,6,86
211,9,563
64,6,247
619,6,234
358,8,870
392,7,223
31,7,603
655,6,849
1002,2,452
40,7,959
842,5,274
921,4,907
1208,1,677
1521,4,76
1431,4,877
1051,0,754
1476,4,974
1458,4,421
1030,2,460
793,3,901
564,9,297
1231,3,730
693,5,631
1041,1,637
1540,2,285
1096,0,987
1503,4,374
869,5,124
1339,1,91
1574,3,485
1012,2,731
1346,2,643
702,5,457
1249,3,532
1485,4,324
1592,3,533
675,5,72
1601,3,451
1240,3,188
311,7,626
212,9,810
435,8,423
321,6,813
1653,2,780
887,5,557
1364,2,702
1449,4,568
1123,0,292
1440,4,106
510,9,105
763,4,449
711,5,766
1328,2,377
1023,1,388
546,9,777
905,5,106
1598,4,122
1494,4,364
1078,0,203
969,3,623
1069,0,920
748,3,299
584,8,294
996,1,25
528,9,986
809,2,60
811,3,251
1224,2,812
720,5,351
1105,0,248
575,8,454
1402,1,363
664,6,51
1087,0,994
851,5,655
537,9,405
1319,2,534
1276,3,729
1258,3,741
757,3,491
1348,1,813
1467,4,708
609,7,576
557,8,488
1114,0,422
1060,0,762
1003,2,493
896,5,83
790,4,585
375,6,480
354,8,806
268,8,440
363,8,7
194,9,443
772,4,188
684,5,461
976,2,155
860,5,760
573,9,193
826,4,229
162,7,29
5,6,281
444,8,283
366,6,27
221,9,16
13,7,788
59,6,962
14,6,837
417,8,785
248,9,711
230,9,884
408,8,931
330,6,361
347,7,218
239,9,869
126,7,132
135,7,795
302,7,622
338,7,305
99,7,180
154,6,605
144,7,780
68,6,470
424,9,320
29,8,39
257,9,487
180,7,346
187,8,334
1217,1,761
878,5,198
203,9,849
989,2,184
942,1,176
476,8,134
1294,1,519
1303,1,684
1569,3,942
1375,3,669
1517,4,283
1657,2,929
1553,4,340
802,1,971
727,4,299
1150,0,231
1159,0,894
1168,0,297
1510,5,227
1287,2,358
494,8,621
1177,0,12
1235,3,421
1132,0,262
935,2,568
965,0,751
1612,2,871
824,5,853
514,9,989
1064,1,212
600,7,945
273,8,190
503,8,585
1628,1,984
591,7,433
1407,1,541
1244,3,250
458,8,693
1664,3,165
659,6,356
1386,4,962
820,3,642
1524,3,359
275,9,482
95,6,896
582,7,788
1278,2,297
1312,1,482
1269,2,976
980,2,251
1673,3,708
910,5,681
1332,2,579
1141,0,885
1186,0,513
951,1,399
485,8,885
523,9,350
1639,2,678
1585,2,673
668,6,90
1646,1,323
641,6,10
1562,4,733
734,3,173
1533,3,44
614,6,293
1393,3,284
1366,3,912
505,9,177
176,7,613
397,7,863
833,5,253
971,2,760
650,6,166
831,4,146
469,9,988
316,6,452
440,8,877
104,6,42
169,8,764
449,8,735
266,9,940
282,8,52
27,7,751
36,7,252
388,7,374
90,7,359
