date,store_nbr,item_nbr,unit_sales,onpromotion
2016-05-15,49,1458848,13.0,0.0
2015-09-09,15,1221045,3.0,0.0
2017-05-22,28,2007117,10.0,0.0
2015-07-16,27,1696052,10.0,0.0
2014-05-27,51,360705,4.0,0.0
2017-06-21,39,816606,4.0,1.0
2016-02-16,40,1209721,12.0,0.0
2016-11-03,9,850333,25.0,0.0
2016-08-26,53,1230418,1.0,0.0
2014-06-13,16,1047774,4.0,0.0
2015-08-22,53,314384,21.0,0.0
2017-07-09,38,1463883,6.0,0.0
2014-07-25,47,517905,12.0,1.0
2016-05-14,28,1909411,15.0,0.0
2015-08-19,11,888763,1.0,0.0
2016-07-21,27,1166475,13.0,0.0
2016-03-08,37,213652,12.0,0.0
2013-04-20,30,686036,6.0,2.0
2016-08-14,6,1312957,2.0,0.0
2016-08-20,23,264751,1.0,0.0
2015-12-17,42,1751175,6.608,0.0
2016-08-01,26,1239749,1.0,0.0
2017-04-06,39,2028307,6.0,0.0
2016-08-15,44,2018245,4.0,0.0
2016-06-30,51,779122,8.0,0.0
2013-08-04,3,953404,7.0,2.0
2015-10-06,44,1229625,1.0,0.0
2015-03-18,18,1397067,1.0,0.0
2015-10-29,21,1285154,1.0,0.0
2017-02-21,42,1152355,1.0,0.0
2016-08-04,24,119191,2.0,0.0
2016-09-18,31,1024975,10.0,0.0
2017-01-21,17,1430040,5.0,0.0
2016-07-30,11,1456995,1.0,0.0
2016-06-11,11,1229636,3.0,0.0
2015-03-29,41,996597,1.0,0.0
2016-11-15,45,1105211,32.0,1.0
2016-03-05,45,1471460,19.0,0.0
2017-01-19,43,759651,3.0,0.0
2017-01-08,27,1463899,27.0,0.0
2014-12-21,44,1229676,7.0,0.0
2017-02-09,53,314881,3.0,0.0
2013-08-30,7,1062927,3.0,2.0
2014-09-23,45,1161571,44.0,0.0
2014-12-10,36,1047755,3.0,0.0
2017-03-20,48,1146648,3.0,0.0
2015-09-30,35,1281253,2.0,0.0
2016-01-30,54,1053944,2.0,0.0
2014-02-25,30,1052563,28.0,2.0
2016-12-22,28,1943435,8.0,0.0
2016-09-25,38,913526,2.0,0.0
2015-10-15,19,1920084,44.0,0.0
2013-09-24,46,414354,17.0,2.0
2016-02-01,5,804503,6.0,0.0
2017-04-04,50,155621,1.0,0.0
2015-08-26,20,1331068,6.0,0.0
2015-12-02,21,1134971,2.0,0.0
2014-08-09,11,368139,14.0,0.0
2015-02-09,18,857327,30.0,0.0
2013-12-31,46,1012788,3.0,2.0
2016-11-05,36,1919935,7.0,0.0
2017-01-25,38,456870,3.0,1.0
2017-02-09,37,368424,4.0,0.0
2017-05-05,6,770511,3.0,0.0
2015-07-12,28,211999,1.0,0.0
2016-01-28,3,1950301,2.0,0.0
2015-09-27,51,1501544,8.0,0.0
2016-10-28,21,1992914,4.0,0.0
2017-04-11,1,1660260,3.0,0.0
2017-02-05,25,564272,4.0,0.0
2017-04-23,37,1473428,39.279,0.0
2014-03-08,8,764439,18.0,2.0
2017-06-27,52,1239813,3.0,0.0
2014-10-23,51,159242,3.0,0.0
2015-05-30,41,700609,1.0,0.0
2014-07-05,1,1324668,9.0,0.0
2017-04-25,31,464334,3.0,0.0
2014-11-15,7,305079,11.0,0.0
2013-08-21,9,723210,3.0,2.0
2015-06-05,51,513379,1.0,0.0
2015-07-24,2,213652,6.0,0.0
2016-08-13,22,1916209,1.0,0.0
2017-05-30,49,170791,15.0,0.0
2014-10-09,1,472314,10.0,0.0
2017-01-14,21,514730,2.0,0.0
2015-09-03,32,1012787,2.0,0.0
2017-07-16,23,1109116,11.0,0.0
2016-05-20,40,1958202,8.0,0.0
2016-08-25,46,928477,3.0,0.0
2016-09-09,34,1916578,1.0,0.0
2016-02-28,51,502067,4.0,0.0
2014-09-14,11,765520,1.0,0.0
2016-10-22,31,518094,7.0,0.0
2014-07-29,40,1464072,1.0,0.0
2015-05-12,9,740723,4.0,0.0
2014-04-20,35,329070,1.0,0.0
2014-09-16,3,210798,6.0,0.0
2017-01-13,30,265254,7.0,0.0
2015-03-05,24,1047703,2.0,0.0
2015-12-11,42,940585,1.0,0.0
2017-08-01,2,1958231,3.0,0.0
2017-07-16,24,2010615,6.0,0.0
2014-04-23,33,258395,3.0,0.0
2013-02-16,13,716241,2.0,2.0
2014-12-09,4,951675,10.0,0.0
2015-09-20,34,510052,7.0,0.0
2017-05-06,42,716242,1.0,0.0
2017-02-22,53,1917879,2.0,0.0
2013-03-08,10,754103,1.0,2.0
2016-01-29,7,564272,9.0,0.0
2015-02-20,4,1038946,4.0,0.0
2016-10-21,54,1146786,32.0,0.0
2014-04-03,37,1239955,2.0,0.0
2013-03-23,13,1047680,6.0,2.0
2017-03-22,43,1239791,1.0,1.0
2013-11-29,10,514757,1.0,2.0
2016-04-04,36,1146796,1.0,0.0
2014-12-23,4,908741,1.0,0.0
2014-07-17,45,838409,10.0,0.0
2015-09-30,34,849098,7.0,1.0
2016-09-18,6,2010916,10.0,0.0
2015-05-02,8,838413,5.0,0.0
2016-02-09,16,754103,5.0,0.0
2016-11-20,29,871513,10.0,1.0
2014-07-09,5,1057034,5.0,0.0
2015-06-02,38,1047707,1.0,0.0
2013-10-05,47,557285,10.0,2.0
