store_nbr,city,state,stype,cluster,f4
38,3,0,1,5,243
35,11,6,4,9,959
25,8,6,3,9,583
15,21,14,2,2,667
42,6,5,4,9,33
30,1,9,1,9,824
29,8,6,2,2,829
10,2,12,1,5,790
52,14,10,3,12,276
19,18,12,1,5,235
34,15,6,2,2,100
21,16,11,2,6,92
31,8,6,2,2,555
51,14,10,0,10,304
39,13,4,2,2,57
13,19,2,2,6,915
43,18,12,0,4,413
0,18,12,3,12,993
33,8,6,1,5,644
24,20,13,3,0,370
36,3,0,3,1,565
50,8,6,0,16,604
23,8,6,3,0,166
45,18,12,0,13,282
53,5,10,2,2,955
17,18,12,1,15,301
27,8,6,4,9,587
22,0,15,3,8,663
4,21,14,3,3,552
14,9,7,2,14,262
11,10,3,2,14,802
44,18,12,0,10,295
20,21,14,1,5,150
28,8,6,4,9,879
7,18,12,3,7,470
12,10,3,2,14,228
5,18,12,3,12,18
3,18,12,3,8,847
32,17,9,2,2,326
37,12,8,3,3,115
49,0,15,0,13,496
46,18,12,0,13,65
8,18,12,1,5,960
2,18,12,3,7,508
40,13,4,3,3,476
18,7,1,2,14,838
26,4,6,3,0,760
16,18,12,2,11,667
9,18,12,2,14,920
47,18,12,0,13,639
1,18,12,3,12,75
6,18,12,3,7,926
41,3,0,3,1,797
48,18,12,0,10,967
