Y,onpromotion,htype,locale,locale_name,transferred,f2,date,dcoilwtico,f3,tid,transactions,f5,store_nbr,city,state,stype,cluster,f4,item_nbr,family,class,perishable,f1,unit_sales
-5739.103112581849,2,4,2,15,1,984,373,6,121,17298,2,527,8,18,12,1,5,960,451,9,168,1,296,4.0
872.3485190238571,0,4,2,15,1,618,1420,2,47,69606,2,748,50,8,6,0,16,604,1476,3,72,0,232,3.0
-7674.674962408274,0,2,1,4,0,354,1421,2,738,69653,6,251,45,18,12,0,13,282,2056,12,30,0,516,1.0
2542.1098731280003,0,4,2,15,1,307,1669,3,49,82839,7,700,43,18,12,0,4,413,4,5,183,1,538,14.0
-5824.012509244241,0,4,2,15,1,697,1177,0,12,56901,1,400,53,5,10,2,2,955,1814,12,28,0,379,3.0
-4057.32567323008,2,4,2,15,1,908,37,7,747,1694,6,700,43,18,12,0,4,413,522,28,162,1,917,35.788
-10236.57424820753,0,4,2,15,1,297,1501,4,221,73802,2,26,13,19,2,2,6,915,2241,16,300,0,993,1.0
-3072.8988510905165,1,4,2,15,1,443,1597,4,856,78953,8,790,45,18,12,0,13,282,991,7,218,0,694,2.0
-6936.222332066423,0,4,2,15,1,322,716,5,367,33502,2,538,30,1,9,1,9,824,2727,30,106,1,85,2.0
-10618.292559605285,0,4,2,15,1,364,596,6,959,27743,2,766,6,18,12,3,7,926,802,21,331,0,884,2.0
-6594.577738456323,2,4,2,15,1,143,406,8,810,18842,3,271,1,18,12,3,12,75,665,12,9,0,58,6.0
2198.946664006416,0,4,2,15,1,261,1594,3,456,78790,5,890,44,18,12,0,10,295,3804,7,231,0,981,3.0
-12060.540783571269,0,4,2,15,1,278,1160,0,690,55972,1,89,22,0,15,3,8,663,1930,8,141,1,885,3.0
-3216.3131218782064,0,0,1,4,0,49,1084,0,443,51995,1,174,21,16,11,2,6,92,1535,22,91,0,833,19.0
-9832.813998390822,0,4,2,15,1,808,1422,2,957,69668,5,417,7,18,12,3,7,470,1224,12,38,0,798,1.0
-1637.8139852829518,0,4,2,15,1,77,488,8,282,22692,1,902,18,7,1,2,14,838,1920,8,141,1,701,8.0
-6886.859180597294,0,4,2,15,1,141,980,2,251,46538,4,541,48,18,12,0,10,967,70,7,213,0,374,5.0
-2801.045551561624,0,4,2,15,1,443,1197,0,883,57910,2,653,1,18,12,3,12,75,2181,12,9,0,664,3.0
-5929.772913869145,0,4,2,15,1,28,1365,2,800,66770,6,530,44,18,12,0,10,295,2939,30,107,1,219,4.655
-9897.532995634308,0,4,2,15,1,241,1096,0,987,52605,5,656,47,18,12,0,13,639,1801,7,220,0,216,2.0
-14367.04740988874,0,4,2,15,1,64,1620,2,945,80185,1,490,35,11,6,4,9,959,1223,10,164,1,288,1.0
-15293.936900496445,1,4,2,15,1,103,834,5,933,39210,5,398,48,18,12,0,10,967,827,9,168,1,262,3.0
