date,store_nbr,transactions
2013-04-18,23,1.0
2013-05-14,23,1.0
2016-11-25,23,1.0
2017-07-12,23,1.0
2013-05-22,12,1.0
2015-01-29,12,1.0
2017-01-29,12,1.0
2017-04-11,12,1.0
2013-01-06,33,1.0
2013-02-19,33,1.0
2013-09-18,33,1.0
2014-08-31,33,1.0
2014-10-14,33,1.0
2015-02-09,33,1.0
2015-10-22,33,1.0
2016-10-03,33,1.0
2014-01-23,19,1.0
2014-12-08,19,1.0
2015-08-20,19,1.0
2016-11-07,19,1.0
2017-06-06,19,1.0
2014-06-06,36,1.0
2014-08-02,36,1.0
2016-01-29,36,1.0
2016-03-26,36,1.0
2016-04-28,36,1.0
2016-10-10,36,1.0
2017-02-05,36,1.0
2017-05-06,36,1.0
2015-03-13,41,1.0
2013-04-12,28,1.0
2014-10-02,28,1.0
2014-12-13,28,1.0
2016-02-23,28,1.0
2013-07-20,10,1.0
2013-11-15,10,1.0
2014-07-28,10,1.0
2013-10-22,43,1.0
2015-11-25,43,1.0
2016-06-23,43,1.0
2013-04-16,40,1.0
2013-06-27,40,1.0
2014-06-27,40,1.0
2017-01-11,40,1.0
2013-03-10,15,1.0
2014-08-09,15,1.0
2014-12-05,15,1.0
2015-12-13,15,1.0
2016-07-29,15,1.0
2017-06-03,15,1.0
2017-08-06,15,1.0
2013-01-11,18,1.0
2013-02-06,18,1.0
2014-01-19,18,1.0
2014-05-28,18,1.0
2014-06-03,13,1.0
2013-08-15,31,1.0
2014-12-12,31,1.0
2015-04-09,31,1.0
2015-11-24,31,1.0
2013-06-13,17,1.0
2013-09-11,17,1.0
2014-04-28,17,1.0
2015-07-17,17,1.0
2016-02-23,39,1.0
2017-05-05,39,1.0
2013-05-17,14,1.0
2016-01-17,14,1.0
2016-09-02,14,1.0
2013-02-11,5,1.0
2013-10-24,5,1.0
2015-07-03,5,1.0
2015-09-13,5,1.0
2016-10-21,5,1.0
2017-07-03,5,1.0
2013-02-03,16,1.0
2014-09-28,16,1.0
2015-04-14,16,1.0
2015-06-10,16,1.0
2015-07-08,16,1.0
2015-09-23,29,1.0
2016-06-04,29,1.0
2016-07-28,29,1.0
2017-03-14,29,1.0
2014-05-31,54,1.0
2016-03-07,54,1.0
2013-05-17,27,1.0
2014-01-16,27,1.0
2014-07-05,53,1.0
2016-02-27,53,1.0
2016-09-30,42,1.0
2016-10-08,42,1.0
2016-12-11,42,1.0
2017-01-06,42,1.0
2017-08-07,25,1.0
