DATEKEY,DATE,DAYOFWEEK,MONTH,YEAR,YEARMONTHNUM,YEARMONTH,DAYNUMINWEEK,DAYNUMINMONTH,DAYNUMINYEAR,MONTHNUMINYEAR,WEEKNUMINYEAR,SELLINGSEASON,LASTDAYINMONTHFL,HOLIDAYFL,WEEKDAYFL
19920101,676,784,298,665,222,989,476,573,442,851,952,142,498,315,513
19920102,809,604,252,939,33,988,796,48,207,612,673,1007,602,796,142
19920103,915,774,554,412,955,822,876,555,755,315,41,623,833,152,934
19920104,761,702,867,10,457,293,411,572,419,315,801,982,307,759,61
19920105,661,23,939,698,914,134,132,227,608,245,593,572,223,855,860
19920106,102,261,943,76,328,857,393,823,93,441,511,174,35,111,804
19920107,298,375,122,568,595,281,551,703,812,776,201,155,765,887,697
19920108,194,55,8,985,658,210,889,483,633,349,255,926,518,892,123
19920109,328,317,230,990,290,3,107,407,685,585,683,396,569,11,96
19920110,322,855,925,940,444,704,887,692,528,185,162,701,739,27,172
19920111,940,376,474,452,992,392,671,688,469,938,194,453,1004,783,707
19920112,194,220,118,882,410,486,974,931,473,85,672,578,455,966,304
19920113,205,376,522,917,44,66,155,317,353,629,610,377,912,86,911
19920114,1006,45,405,618,350,17,340,685,476,702,66,456,821,195,1011
19920115,667,979,285,540,155,795,909,434,723,65,336,841,915,865,285
19920116,496,755,324,423,911,369,827,756,745,277,773,868,466,789,234
19920117,185,1023,306,170,421,578,547,60,753,752,871,155,9,351,817
19920118,10,772,778,198,929,252,320,396,291,857,12,424,639,369,104
19920119,622,761,115,45,307,416,586,258,1005,818,677,637,388,729,102
19920120,102,761,198,508,247,53,149,427,714,188,120,501,14,226,400
19920121,123,318,674,454,391,17,142,17,583,419,834,104,389,337,291
19920122,569,54,904,497,164,207,269,592,135,770,159,236,175,272,876
19920123,223,88,340,722,314,974,914,571,201,295,647,103,62,1002,257
19920124,104,768,54,999,668,552,1017,601,829,357,813,977,704,603,451
19920125,261,876,202,946,543,734,831,87,223,183,750,438,834,404,364
19920126,826,836,192,440,815,391,251,594,163,83,323,849,562,95,100
19920127,421,390,29,760,866,215,75,834,478,812,851,324,892,61,513
19920128,70,654,233,677,979,863,641,948,54,553,959,39,307,678,832
19920129,672,482,684,689,227,82,599,663,691,781,832,646,801,335,716
19920130,464,792,419,435,320,648,747,576,901,272,420,141,316,162,975
19920131,975,854,786,475,503,25,1011,21,889,721,919,920,345,177,962
19920201,632,528,561,321,65,261,434,901,897,538,376,1016,385,307,154
19920202,217,724,903,908,765,201,107,392,995,907,158,254,854,856,805
19920203,164,246,699,592,407,649,282,685,4,41,540,473,654,151,392
19920204,802,59,466,235,180,402,609,591,347,154,137,713,653,608,883
19920205,710,137,701,888,157,384,159,203,656,32,721,845,0,985,725
19920206,172,701,694,182,712,268,330,338,19,258,835,539,494,363,620
19920207,490,898,576,395,968,989,887,143,713,391,718,948,797,1023,267
19920208,422,990,33,784,680,841,17,887,468,237,791,910,842,429,714
19920209,392,875,249,333,547,449,45,136,831,451,518,288,162,484,182
19920210,855,394,135,816,920,186,261,576,990,897,344,5,704,1021,880
19920211,44,162,603,619,617,897,181,1001,579,11,132,704,826,380,933
19920212,701,425,370,117,1000,659,952,85,157,45,365,678,166,910,379
19920213,9,761,219,731,118,436,897,86,945,281,334,208,344,1020,894
19920214,881,340,127,739,904,758,164,126,341,387,165,322,25,174,701
19920215,530,202,306,595,424,958,463,1000,10,267,795,174,417,175,931
19920216,977,328,490,574,93,392,192,963,690,365,381,466,490,252,399
19920217,259,956,771,424,182,382,1013,272,1014,64,183,936,722,121,975
19920218,976,157,496,305,112,219,988,312,501,674,988,49,129,769,989
19920219,560,854,820,658,846,988,488,887,552,305,896,347,151,597,645
19920220,124,577,410,665,149,135,498,238,549,15,441,812,275,663,414
19920221,595,595,410,983,663,797,75,555,376,719,323,150,425,696,119
19920222,711,752,966,245,774,131,840,103,695,202,950,522,394,286,105
19920223,257,962,386,492,527,312,923,10,90,19,839,586,762,1002,532
19920224,291,691,879,832,862,785,93,745,219,863,366,248,740,416,499
19920225,149,334,668,119,894,209,1021,880,547,566,62,880,459,827,146
19920226,850,872,156,618,289,57,519,155,211,812,632,930,743,199,513
19920227,550,360,469,250,859,265,63,0,438,898,553,867,871,916,189
19920228,593,580,687,282,912,551,1023,507,943,719,577,324,242,827,754
19920229,221,290,754,205,765,95,127,116,388,332,52,570,721,79,629
19920301,943,28,410,514,807,1,1,842,634,201,114,7,254,361,922
19920302,994,443,179,758,552,242,791,804,172,809,321,189,671,101,550
19920303,446,710,47,610,393,900,303,307,73,290,7,242,117,244,196
19920304,135,384,148,50,340,183,616,424,251,750,348,900,548,907,251
