A,B,D,H
4621,1717,710,20134571
4641,3653,1163,17290442
2930,2284,844,6657204
3668,4259,292,12210596
2415,3417,330,4704615
3673,1380,1102,11970169
2155,202,655,4511715
546,2894,1559,-4213630
708,1534,621,-451350
1939,3691,1611,-2186480
4259,238,1832,17703065
4585,3353,561,19141192
3958,1284,490,15036604
2219,2148,1846,958753
1105,723,117,1136434
3736,2609,1630,9705026
69,3652,364,-1324567
4376,1088,1848,17138752
1106,63,934,1164394
3676,525,335,13337101
4101,1734,1912,13502793
350,1934,622,-1080448
3417,3504,1596,6083505
4539,1080,877,19655361
3726,739,415,13576391
3258,4277,1892,2522480
2269,1011,1475,3657136
641,1793,489,-465896
4454,1169,284,19506120
3166,4744,103,9534924
2601,2249,728,5127929
1107,489,849,810288
1325,2390,7,1738895
4856,1287,1452,21712012
2579,417,1539,6009478
2879,4846,446,6127325
4852,4983,1445,16341469
2293,4587,216,4267057
917,329,1833,237832
4595,258,1778,20655301
1902,3486,1537,-1740378
1964,2168,347,3105000
2457,4220,1228,854689
3277,1456,139,10536345
106,1705,1620,-2750864
2764,923,1647,6119515
196,1973,339,-630431
1922,3656,773,867996
1751,1967,375,2328376
779,1056,1689,-1176743
450,2124,1844,-3714156
693,3255,1671,-4958856
2329,3793,1026,1532623
3026,1801,1166,7056710
4667,1243,711,20897116
1575,4300,61,2218325
3962,3181,1746,10143418
4923,2911,1520,19811209
4720,2051,1056,20112544
3872,2504,1084,12278048
3488,2730,647,10399834
3153,1910,1370,7324709
3057,2528,424,8273377
1023,2441,1688,-3073879
347,2077,1769,-3553804
4094,3444,1969,9979600
4052,3393,256,15550096
1354,4094,725,-1134834
2553,2367,1243,3575628
2614,4863,137,6166765
3338,2225,585,9840619
4610,2420,1346,17994780
2256,3247,777,2566617
4828,3861,1707,16718857
2314,3496,1023,1778188
1626,2472,1904,-2062812
3040,25,1034,9215750
4743,2172,671,21038637
4381,893,1120,18193001
2764,1227,1479,5824963
218,2699,168,-405908
2030,2258,1365,1038730
3193,4056,137,9639577
3016,445,1133,8592071
1678,966,405,2424454
4034,3734,1364,11179980
3852,3357,1781,8859087
4913,1837,1964,20529701
2195,2045,516,3762805
2754,4025,44,7407416
1385,4434,1754,-5859011
4601,447,602,20900107
1552,1366,853,1243506
595,4027,159,-286268
3572,4473,1654,5360842
2667,3525,1216,2826489
961,660,25,907021
4936,4835,1069,19195481
2125,634,1266,3712981
829,4137,238,-297365
4129,1793,746,15711063
1120,1467,1611,-1108937
1318,512,1580,928164
3853,4185,1798,7320979
666,547,375,238431
999,3426,1102,-2777451
4759,4895,193,21703346
926,3434,1320,-3675404
4930,1501,682,23281218
419,2315,991,-2118604
3249,4316,1941,2178645
2627,3839,868,3568877
4544,3430,326,19529756
1643,3750,1483,-2861801
4566,1884,1765,17523096
1979,817,1834,2418063
4019,2078,111,15921703
1523,3759,1381,-2871650
3566,3998,249,11720854
1499,4133,202,1412135
2331,3389,17,5375948
1383,4153,1921,-6065224
2240,709,847,4417077
2214,2042,1807,1211902
1852,3614,1162,-769564
3743,1180,1902,11765689
2018,935,1181,2968089
3667,4396,597,10822477
1008,2369,1463,-2449783
3258,841,1251,9562473
1557,3069,341,1377720
1163,2355,1200,-1473431
2389,2901,117,5367904
2904,4357,56,8189224
4348,999,1393,17513497
871,4883,1542,-6770945
1155,1450,1768,-1229575
193,2341,1908,-4429379
29,4510,1260,-5681759
1395,4599,225,911250
2480,2913,762,3930694
2119,529,781,4077012
2759,4894,1782,-1109027
1158,3397,465,-238641
981,1628,968,-613543
4759,4650,1894,13840981
2891,514,628,8035089
580,4960,724,-3254640
1553,1464,1597,73801
4958,4636,92,24155252
4883,236,279,23777845
3643,3471,1497,8075362
4358,2265,1293,16063519
3541,2349,1634,8700415
3744,4938,683,10644882
4800,909,998,22132818
706,1490,687,-525194
1774,4356,248,2066788
2168,200,765,4547224
1401,4267,1612,-4915603
3316,3561,1742,4792594
3849,4762,135,14171931
4709,983,59,22116684
2692,2457,337,6418855
3717,495,1260,13192389
4579,3364,1615,15534381
1456,1133,1400,533736
3464,375,983,11630671
2693,2813,50,7111599
2767,713,1324,6712277
2407,174,737,5665411
634,3583,1006,-3202542
1244,4748,752,-2022960
1255,672,1128,817009
1523,4668,166,1544641
4913,2509,1155,21239674
2123,4754,842,504261
3349,2530,1605,7155151
1424,2560,1003,-539904
3537,4446,1823,4405311
1772,1616,1073,1406016
2553,779,1773,5136642
359,2240,1160,-2469519
1320,3332,1635,-3705420
1078,1246,161,961478
292,2876,1384,-3895120
3597,4586,415,11035219
3302,401,180,10831024
2091,532,778,3958385
4245,4,1417,18014357
3939,3564,258,14596209
4466,2557,724,18093888
659,4317,1961,-8031356
635,2256,151,62569
516,686,704,-216688
4215,4543,1133,12619006
838,511,1248,64516
1229,1261,874,408327
4331,2927,1852,13336757
615,2676,1160,-2725935
717,3363,747,-1998072
2114,3849,1865,-2709389
652,3896,1917,-7043528
2077,2656,72,4122697
4550,390,1421,20148310
4654,3583,835,18667911
3825,4762,1506,7459053
869,907,870,-33929
4682,2237,70,21764534
1194,4951,226,306710
642,2384,1327,-2751404
10,4395,1840,-8086700
2062,3193,1039,934317
2203,1341,9,4841140
3557,3081,804,10175125
2963,4287,1478,2443183
1727,607,34,2961891
4915,2316,1371,20981989
1527,3728,383,903905
2069,4723,1900,-4692939
1302,2581,684,-70200
3057,4802,1115,3991019
1022,4332,1764,-6597164
2261,1989,1187,2751178
3863,3298,636,12825241
4519,3935,1145,15915786
4950,3012,888,21827844
1714,3872,1767,-3904028
4499,952,1424,18885353
823,3464,255,-205991
2891,2335,1910,3898031
343,2003,427,-737632
1622,3095,1725,-2707991
294,2690,958,-2490584
41,1427,1742,-2484153
640,967,1057,-612519
1789,3057,1579,-1626482
4086,2423,349,15849769
829,3098,368,-452823
1980,4058,901,264142
1489,1334,645,1356691
2863,538,1242,7528573
4256,4595,619,15269231
3985,1535,1540,13516325
3393,2470,359,10625719
2836,1698,1770,5037436
4869,4301,1214,18485747
130,3119,1232,-3825708
4352,1728,1523,16308160
4832,25,448,23337024
685,4413,1576,-6485663
2988,903,1752,7346088
2967,3127,163,8293388
2048,2981,487,2742557
2801,4313,793,4425392
3861,3696,1973,7615113
976,2921,907,-1696771
2973,2634,307,8030091
2505,4755,722,2841915
1176,2365,1303,-1698619
1619,1341,459,2005642
3122,2288,834,7838692
4132,3223,1860,11078644
4884,4728,631,20870088
3596,4170,464,10996336
1406,3079,927,-877397
1399,1568,857,613425
1301,1369,1952,-979687
2603,819,1877,5238346
3135,4764,692,6531537
4400,2586,15,19321210
3347,1779,1257,8966206
2675,4617,1111,2026138
4054,4019,174,15735610
3843,3362,18,14708133
3558,2138,1313,9852170
4918,2893,1014,21253222
24,3268,1241,-4055012
2006,278,851,3787458
3510,3143,915,9444255
4166,1662,1519,14830978
4240,2587,896,15659648
1232,1393,1291,-280539
4396,4211,1283,13922103
699,45,1509,420696
3806,3774,1614,8394400
2195,3177,738,2473399
2356,2666,1131,2535490
2573,2938,1869,1129207
585,2774,1845,-4775805
1914,607,1209,2929533
4179,2326,1849,13163267
991,734,497,617283
3705,2587,215,13170820
3164,2383,790,8128326
4236,258,1633,17522382
1159,4549,526,-1049493
2541,2063,1649,3054794
3570,4974,418,10665768
4031,2852,201,15675709
506,2264,1620,-3411644
2292,4759,1826,-3436670
777,4444,1578,-6408903
1086,2528,372,238980
1500,4851,456,37944
214,1606,901,-1401210
1854,4573,1246,-2260642
4363,1827,1577,16154590
2715,4404,1468,906153
724,4947,1485,-6822119
638,990,1092,-674036
1411,1118,1450,369821
3894,402,786,14847264
3877,4770,344,13390249
3818,780,712,14021764
146,4904,1755,-8585204
2021,2976,466,2697625
3841,3543,835,11794876
2553,344,1387,6040681
2819,4609,1465,1194576
1936,4912,1112,-1714048
1271,1106,511,1050275
2563,4742,1044,1618321
4413,3543,1659,13596732
3124,1060,24,9733936
