A,B,D,H,F,E
4621,1717,710,20134571,7330,1404
4621,4381,1659,14085562,6889,1404
4621,3959,1101,16994782,6663,1404
4621,1476,365,20814901,6572,1404
4621,1325,1869,18877216,1888,1404
2811,1717,871,6406214,7330,346
2811,2725,47,7773646,4410,346
4641,3653,1163,17290442,3511,2513
4641,149,1055,21381686,1708,2513
4857,3653,1504,18096337,3511,154
4857,907,384,23242161,7074,154
4857,718,1913,22216915,8235,154
4857,1251,1469,21752730,7207,154
2930,2284,844,6657204,6572,2774
319,2284,753,-1618091,6572,2458
319,1393,307,-325890,5136,2458
319,3130,114,-255059,1566,2458
1487,2284,537,984661,6572,2667
1487,2828,209,1620117,2645,2667
4827,2284,1180,20604809,6572,2069
4827,4256,1767,15779577,9361,2069
3668,4259,292,12210596,4941,41
268,4259,418,-1708438,4941,1530
268,469,312,-74504,5106,1530
268,4578,129,-518738,8797,1530
268,4283,1605,-6802391,7579,1530
2036,4259,1558,-2490226,4941,914
1021,4259,1223,-4166316,4941,1234
1021,325,122,1002791,2318,1234
2415,3417,330,4704615,433,944
2415,4228,1675,-1249675,9336,944
2415,929,1287,4636602,6383,944
2415,2564,1903,952933,5946,944
1976,3417,1103,135625,433,1622
1976,3397,362,2674862,7798,1622
1976,4627,1778,-4322230,6508,1622
1976,1409,318,3456514,8282,1622
1976,3374,1144,44720,1327,1622
3673,1380,1102,11970169,7805,600
3673,3164,1971,7254685,9031,600
3673,3313,1178,9588215,8134,600
1641,1380,778,1619241,7805,2109
1641,4629,881,-1385268,6902,2109
1641,3964,1185,-2004459,8733,2109
2155,202,655,4511715,9314,1226
2155,1936,633,3418537,7700,1226
2513,202,1627,5986515,9314,2404
2513,4068,190,5542249,2805,2404
2513,2338,1415,3006899,873,2404
2513,1368,1747,3925273,9239,2404
546,2894,1559,-4213630,6041,1394
546,200,809,136316,83,1394
546,8,807,291660,6782,1394
546,2553,1475,-3467559,2319,1394
546,4500,1950,-8476884,2022,1394
708,1534,621,-451350,3320,2611
708,2604,951,-1975140,7234,2611
708,3841,174,-167070,5381,2611
