A,E
1,301
2,1103
3,218
4,2204
5,2994
6,143
7,604
8,26
9,1502
10,1543
11,2651
12,255
13,1603
14,2227
15,976
16,1308
17,682
18,2552
19,1912
20,1155
21,1378
22,329
23,1778
24,2080
25,1035
26,2373
27,1753
28,2729
29,1881
30,1178
31,1297
32,182
33,39
34,205
35,1111
36,2573
37,1281
38,2694
39,450
40,2350
41,1474
42,921
43,1026
44,2335
45,1424
46,137
47,894
48,2941
49,2839
50,16
51,620
52,365
53,1200
54,558
55,732
56,1953
57,936
58,2972
59,2967
60,1231
61,1470
62,2507
63,523
64,1679
65,738
66,2057
67,1143
68,2302
69,1476
70,1845
71,409
72,1965
73,464
74,2832
75,1033
76,1133
77,1979
78,2685
79,2514
80,919
81,2352
82,2949
83,2365
84,2763
85,2908
86,907
87,1210
88,1345
89,2207
90,2532
91,2641
92,2756
93,2973
94,2590
95,1539
96,744
97,1352
98,2686
99,974
100,597
101,1073
102,1553
103,428
104,824
105,483
106,1630
107,1701
108,1092
109,2187
110,1076
111,665
112,762
113,636
114,2850
115,2614
116,2962
117,15
118,1424
119,1497
120,2027
121,212
122,757
123,77
124,1696
125,2366
126,930
127,973
128,25
129,1088
130,2915
131,937
132,374
133,1327
134,1840
135,363
136,2040
137,2317
138,1598
139,630
140,139
141,1191
142,1322
143,1885
144,736
145,2651
146,161
147,1065
148,323
149,2800
150,2385
151,2580
152,1092
153,780
154,1609
155,211
156,880
157,1953
158,1268
159,2195
160,1900
161,1389
162,1480
163,161
164,609
165,1254
166,413
167,2340
168,2556
169,1684
170,2585
171,1619
172,51
173,1797
174,1331
175,296
176,2176
177,1735
178,2635
179,804
180,558
181,1803
182,2249
183,1566
184,834
185,2208
186,2163
187,798
188,1907
189,567
190,1127
191,960
192,1594
193,2464
194,736
195,2212
196,219
197,1721
198,1918
199,2085
200,1926
201,99
202,126
203,2224
204,2955
205,2906
206,408
207,1177
208,1037
209,2306
210,2241
211,2198
212,2243
213,2006
214,2793
215,506
216,944
217,2642
218,2823
219,1193
220,197
221,965
222,2832
223,2604
224,55
225,2544
226,1591
227,135
228,2624
229,136
230,2387
231,212
232,431
233,676
234,1810
235,650
236,1019
237,2241
238,969
239,1017
240,2948
241,113
242,1580
243,2214
244,619
245,305
246,2368
247,1608
248,1518
249,1704
250,1468
251,2397
252,293
253,1816
254,383
255,1395
256,200
257,341
258,2144
259,1636
260,2766
261,1606
262,1627
263,2137
264,1421
265,2214
266,963
267,2725
268,1530
269,938
270,2919
271,437
272,1232
273,2246
274,2908
275,960
276,2307
277,338
278,1365
279,150
280,2451
281,236
282,2462
283,1339
284,279
285,2048
286,860
287,1850
288,763
289,2758
290,434
291,846
292,148
293,1757
294,2634
295,2554
296,876
297,637
298,561
299,359
300,2527
301,1086
302,2315
303,2088
304,1944
305,2321
306,491
307,1259
308,1916
309,901
310,1945
311,340
312,2788
313,1034
314,1034
315,1959
316,1721
317,2939
318,1765
319,2458
320,1072
321,2601
322,2918
323,827
324,2000
325,2513
326,2045
327,833
328,999
329,1403
330,414
331,2206
332,2308
333,1453
334,2863
335,611
336,2664
337,678
338,907
339,172
340,1872
341,137
342,2153
343,2385
344,1138
345,2626
346,276
347,1788
348,1418
349,1188
350,978
351,1616
352,1996
353,1325
354,2352
355,1801
356,2902
357,641
358,888
359,2728
360,2926
361,622
362,1930
363,604
364,1723
365,2016
366,2337
367,1342
368,2226
369,1037
370,1897
371,327
372,2849
373,1377
374,346
375,1243
376,55
377,132
