B,F
1,9016
2,7144
3,3326
4,8843
5,8988
6,9902
7,1812
8,6782
9,4552
10,767
11,6039
12,6131
13,4524
14,2649
15,2182
16,2693
17,8846
18,6421
19,5930
20,163
21,5805
22,2185
23,9251
24,3125
25,89
26,7990
27,2502
28,1968
29,9921
30,2315
31,7786
32,8419
33,8422
34,7350
35,8882
36,3044
37,4487
38,8483
39,2951
40,6893
41,979
42,7627
43,6235
44,232
45,9025
46,2817
47,6865
48,712
49,3706
50,7169
51,2078
52,2045
53,5034
54,6115
55,3044
56,8686
57,1572
58,3124
59,3952
60,5482
61,9853
62,2199
63,1153
64,6065
65,7568
66,3219
67,8069
68,7601
69,8016
70,5115
71,9395
72,4636
73,1787
74,3116
75,4670
76,5996
77,4737
78,3155
79,1071
80,3573
81,7385
82,1583
83,6933
84,3760
85,2438
86,1015
87,7209
88,3641
89,8837
90,383
91,7680
92,769
93,7166
94,7256
95,4510
96,2578
97,1867
98,4976
99,9427
100,1637
101,6642
102,3139
103,8987
104,9232
105,9282
106,5330
107,7104
108,4561
109,1549
110,1466
111,8798
112,698
113,6697
114,9123
115,5501
116,1490
117,1664
118,4252
119,1548
120,4924
121,6534
122,2764
123,7898
124,5086
125,136
126,6676
127,2955
128,2110
129,7599
130,3937
131,8101
132,9913
133,9153
134,4681
135,299
136,3156
137,9899
138,462
139,5657
140,8764
141,2811
142,6915
143,1653
144,3007
145,1072
146,2681
147,9418
148,2043
149,1708
150,5900
151,2104
152,954
153,3315
154,9045
155,8473
156,2708
157,2346
158,905
159,8526
160,4721
161,2412
162,2914
163,7981
164,897
165,8340
166,5812
167,537
168,9846
169,3947
170,577
171,6981
172,5383
173,5843
174,5748
175,7926
176,2790
177,1009
178,823
179,4137
180,1254
181,992
182,8768
183,3510
184,882
185,2412
186,1558
187,1340
188,1823
189,9604
190,7269
191,5709
192,8420
193,876
194,2798
195,3462
196,1245
197,7196
198,7874
199,3738
200,83
201,18
202,9314
203,7561
204,7432
205,5584
206,6772
207,6332
208,5529
209,1152
210,9396
211,4453
212,7083
213,9616
214,2247
215,1091
216,2128
217,9770
218,7672
219,2904
220,1323
221,4229
222,4871
223,4832
224,5822
225,8455
226,5112
227,4033
228,3337
229,7568
230,746
231,1749
232,7346
233,499
234,7851
235,6510
236,2409
237,4245
238,9788
239,911
240,3265
241,1486
242,4229
243,2760
244,8467
245,7855
246,3886
247,4145
248,3473
249,4625
250,9883
251,7409
252,2275
